psraid,sex,lifeq,snsuse,age,educ,race,inc,hisp
102457,1,3,98,76,7,2,98,2
102458,1,3, ,66,6,1,99,2
102462,2,2, ,50,7,1,9,2
102465,1,2, ,71,6,2,3,2
102466,2,1, ,65,6,1,7,2
102472,1,4,1,61,3,1,6,2
102478,2,4,1,60,3,1,6,2
102484,2,1, ,73,1,1,1,2
102495,2,4, ,74,1,1,98,1
102501,2,3, ,75,4,1,6,2
102504,1,2, ,50,5,2,6,2
102507,2,1,1,48,7,1,8,2
102508,2,3,1,44,5,1,4,1
102514,2,2,1,51,3,1,3,2
102516,2,3, ,82,4,1,2,2
102518,1,5, ,62,2,1,1,2
102522,2,5, ,65,3,1,98,2
102529,1,3,1,70,6,2,7,2
102530,1,3,1,57,6,1,2,2
102532,2,5, ,47,5,1,3,2
102535,2,2, ,61,1,1,1,1
102538,2,3, ,68,6,1,5,2
102542,2,5, ,86,1,1,98,1
102546,2,4, ,45,5,1,6,1
102552,2,2, ,84,3,1,4,2
102553,2,4, ,79,5,1,1,2
102556,2,4, ,50,3,1,8,2
102558,2,2, ,86,3,1,99,2
102560,2,3,1,30,5,1,7,2
102566,1,2, ,67,4,1,6,2
102567,1,3, ,76,2,1,5,2
102569,1,3,1,68,6,1,6,2
102572,1,4, ,52,3,2,2,2
102575,2,2, ,80,3,1,98,2
102581,2,4, ,84,3,1,3,2
102583,2,3, ,49,1,1,2,1
102584,2,4,1,44,7,1,7,1
102585,2,4,1,68,7,1,9,2
102592,2,4, ,35,4,1,1,2
102594,2,2, ,50,6,1,99,2
102595,2,2,9,50,3,1,99,2
102602,2,4, ,45,3,1,3,2
102603,2,3, ,68,4,1,6,2
102607,1,5, ,21,2,6,99,1
102611,1,2,1,21,5,1,6,1
102612,2,2, ,87,6,1,98,2
102613,2,3, ,64,5,1,4,2
102615,2,2,1,41,7,1,9,2
102616,2,3,2,42,7,1,9,2
102618,2,3, ,55,3,1,6,2
102620,2,3,1,37,3,1,4,2
102622,2,2, ,48,6,1,99,2
102624,1,2, ,85,5,1,5,2
102633,1,4, ,65,3,1,4,2
102640,1,2, ,47,1,9,1,8
102642,2,3, ,75,3,1,99,2
102646,2,2,1,65,6,1,6,2
102647,1,4, ,81,3,1,98,2
102649,2,3,1,20,3,1,99,2
102652,1,3, ,82,3,1,2,2
102657,2,1,1,65,7,1,7,2
102659,1,2,1,59,7,1,99,2
102661,2,3, ,71,3,1,4,2
102663,2,4, ,65,2,2,2,2
102666,2,2,1,54,5,1,7,2
102669,1,3, ,94,2,5,1,2
102673,1,1, ,44,5,1,4,2
102678,2,1,1,62,3,1,99,2
102680,2,3, ,80,3,1,2,2
102687,2,1, ,65,6,1,99,2
102692,2,3, ,60,6,9,4,2
102693,2,4, ,85,6,1,99,2
102700,2,2,1,53,6,1,7,2
102701,2,2,98,61,3,1,98,2
102708,2,2, ,72,3,1,99,2
102710,2,1, ,63,3,1,5,2
102713,2,2, ,85,5,1,3,2
102716,1,2,1,52,3,1,7,2
102731,2,4,1,50,6,3,9,2
102732,2,2, ,55,5,1,99,2
102735,2,2,12,62,6,3,99,2
102737,1,2,1,44,6,1,6,2
102744,1,1,1,57,7,1,7,2
102746,1,3,99,60,3,1,4,2
102750,2,4,1,61,5,1,5,2
102755,1,3,1,99,3,9,5,2
102761,2,1,1,42,6,1,8,2
102774,1,2,1,50,3,1,8,2
102785,1,1, ,87,3,1,3,2
102791,2,4, ,83,7,1,6,2
102792,1,2, ,52,3,1,8,2
102796,2,2, ,73,2,1,3,2
102797,2,4, ,59,3,1,1,2
102800,1,4, ,57,7,1,6,2
102808,1,5, ,59,2,1,5,2
102811,2,2,1,61,3,1,7,2
102813,2,1,1,63,6,1,9,2
102824,2,4,2,50,6,1,8,2
102830,2,4, ,80,3,1,1,2
102831,1,4, ,66,5,1,3,2
102833,2,2, ,80,5,1,99,2
102835,2,1, ,75,7,1,6,2
102839,1,4, ,70,2,2,2,1
102843,1,3, ,43,6,1,8,2
102845,1,2, ,71,6,1,8,2
102846,2,3,1,67,3,1,5,2
102850,2,5, ,83,1,1,3,2
102853,2,4,3,50,3,1,4,2
102854,1,4, ,87,5,1,2,2
102855,2,3, ,51,6,1,7,2
102861,1,4, ,69,7,1,6,2
102865,2,3, ,48,4,1,2,2
102866,2,3,1,41,6,1,99,2
102868,1,2, ,85,8,1,2,2
102873,2,4, ,73,3,1,98,2
102875,1,3, ,75,6,1,7,2
102888,2,4,1,24,5,1,3,1
102890,2,3, ,44,6,1,8,2
102892,2,3, ,44,6,1,4,2
102897,2,3,1,19,3,4,3,1
102899,1,4,1,56,5,1,2,2
102904,2,3, ,78,2,1,2,2
102905,1,3, ,65,5,1,99,2
102913,2,3,88,49,5,2,4,2
102921,1,1, ,56,5,1,6,2
102927,1,3,1,60,5,1,8,2
102936,2,2, ,80,2,3,5,2
